,compound,neg,neu,pos
,mean,mean,mean,mean
published_date,,,,
2017-12-08,-0.2423,0.13466666666666666,0.8653333333333334,0.0
2017-12-22,0.0,0.0,1.0,0.0
2017-12-28,-0.4767,0.39299999999999996,0.444,0.163
2018-01-01,-0.15215,0.1427,0.8015000000000001,0.0558
2018-01-02,-0.06529999999999998,0.08544444444444445,0.8722777777777777,0.04227777777777778
2018-01-03,0.011434782608695649,0.06745652173913044,0.8558478260869566,0.07671739130434782
2018-01-04,-0.07693333333333333,0.12828888888888887,0.7965111111111111,0.0752
2018-01-05,0.0005829268292682894,0.08046341463414634,0.8371951219512196,0.08234146341463415
2018-01-06,0.0006395348837209142,0.08383720930232558,0.8312093023255813,0.08497674418604652
2018-01-07,-0.14036666666666667,0.10666666666666665,0.8565,0.036833333333333336
2018-01-08,-0.023349019607843143,0.054764705882352945,0.9035098039215687,0.041725490196078435
2018-01-09,0.028240350877192996,0.059280701754385955,0.8596842105263156,0.08105263157894735
2018-01-10,0.0702674418604651,0.06176744186046513,0.841,0.09725581395348838
2018-01-11,-0.04269245283018868,0.08479245283018867,0.8561509433962263,0.059037735849056604
2018-01-12,-0.04170227272727273,0.07847727272727273,0.8702272727272727,0.05129545454545455
2018-01-13,-0.021313636363636364,0.09886363636363636,0.8215909090909093,0.07954545454545456
2018-01-14,0.21318888888888887,0.02611111111111111,0.7927777777777778,0.1811111111111111
2018-01-15,-0.023086363636363638,0.07145454545454545,0.8679090909090911,0.06063636363636364
2018-01-16,-0.046880555555555564,0.09477777777777778,0.8387222222222221,0.0665
2018-01-17,-0.030629508196721316,0.08762295081967213,0.8461147540983607,0.06624590163934425
2018-01-18,0.08136041666666666,0.05058333333333334,0.8438958333333334,0.10552083333333334
2018-01-19,0.03223518518518519,0.07446296296296297,0.8315370370370369,0.09400000000000001
2018-01-20,-0.14567894736842105,0.11768421052631578,0.8566842105263156,0.025578947368421052
2018-01-21,0.17174,0.0,0.8684,0.1316
2018-01-22,0.0362,0.08442105263157894,0.8057368421052631,0.10984210526315791
2018-01-23,0.01795576923076923,0.0570576923076923,0.8839999999999999,0.058980769230769226
2018-01-24,0.05926046511627908,0.08746511627906978,0.8032558139534883,0.10925581395348838
2018-01-25,-0.041990000000000006,0.07822,0.8603799999999999,0.06144000000000002
2018-01-26,0.037142424242424234,0.046575757575757576,0.8953636363636364,0.05803030303030303
2018-01-27,-0.15101818181818183,0.1229090909090909,0.8228181818181818,0.05427272727272727
2018-01-28,0.12040000000000001,0.0,0.902,0.09799999999999999
2018-01-29,0.05926756756756756,0.06032432432432433,0.8501891891891892,0.0894864864864865
2018-01-30,0.025000000000000005,0.05620833333333333,0.8769583333333334,0.066875
2018-01-31,0.06845000000000001,0.06620833333333334,0.8324375,0.10137500000000003
2018-02-01,-0.0011090909090909053,0.09670454545454545,0.8126136363636361,0.0906818181818182
2018-02-02,-0.025529268292682927,0.10363414634146342,0.799,0.09734146341463412
2018-02-03,0.012652631578947377,0.06363157894736843,0.8656842105263156,0.0706842105263158
2018-02-04,0.35631428571428575,0.039,0.7048571428571427,0.2561428571428571
2018-02-05,0.04753030303030304,0.10806060606060605,0.7834545454545454,0.10842424242424245
2018-02-06,-0.06704363636363637,0.10045454545454548,0.8424545454545455,0.057054545454545455
2018-02-07,0.05292444444444445,0.0426,0.8901111111111113,0.06731111111111111
2018-02-08,-0.021693749999999998,0.08583333333333336,0.8419375000000001,0.07227083333333333
2018-02-09,-0.003282500000000016,0.09230000000000001,0.8213000000000001,0.08637500000000001
2018-02-10,-0.04700625,0.10387500000000001,0.8144999999999999,0.081625
2018-02-11,0.030179999999999995,0.10600000000000001,0.8026,0.0914
2018-02-12,-0.046244827586206905,0.1113448275862069,0.8047241379310345,0.08389655172413793
2018-02-13,-0.0148575,0.08110000000000002,0.8457749999999999,0.07312500000000001
2018-02-14,0.023896078431372546,0.058647058823529406,0.8668039215686272,0.0745686274509804
2018-02-15,0.0995203703703704,0.05209259259259259,0.8326296296296297,0.11525925925925924
2018-02-16,-0.03988484848484848,0.08260606060606061,0.8565757575757577,0.06081818181818182
2018-02-17,-0.11536874999999999,0.1285,0.8354999999999999,0.036000000000000004
2018-02-18,0.1092625,0.023250000000000003,0.851,0.12575
2018-02-19,-0.09235714285714287,0.09475,0.860607142857143,0.044642857142857144
2018-02-20,-0.045458139534883715,0.08458139534883723,0.8503953488372095,0.06502325581395349
2018-02-21,-0.03669811320754716,0.08775471698113207,0.845811320754717,0.06643396226415094
2018-02-22,0.010463461538461541,0.05526923076923077,0.8826730769230766,0.06203846153846155
2018-02-23,0.01922040816326531,0.059959183673469384,0.8697551020408161,0.07030612244897957
2018-02-24,-0.01090769230769231,0.08242307692307692,0.8421538461538461,0.07542307692307694
2018-02-25,0.0353375,0.050749999999999997,0.8805,0.06875
2018-02-26,-0.005013333333333345,0.08759999999999998,0.8271,0.08526666666666666
2018-02-27,0.02075166666666667,0.0887,0.8224666666666667,0.0888
2018-02-28,0.08161818181818185,0.035399999999999994,0.8758909090909092,0.08869090909090906
2018-03-01,-0.011529545454545454,0.10431818181818181,0.7999999999999999,0.09568181818181819
2018-03-02,-0.07875098039215689,0.10198039215686276,0.8506078431372549,0.047411764705882355
2018-03-03,0.09281818181818183,0.07436363636363635,0.7995,0.1261363636363636
2018-03-04,0.10793076923076922,0.048192307692307694,0.8475384615384615,0.10426923076923078
2018-03-05,0.07409090909090908,0.04893939393939394,0.8513333333333333,0.09975757575757577
2018-03-06,0.03469016393442624,0.08391803278688524,0.8134098360655736,0.10265573770491802
