,compound,neg,neu,pos
,mean,mean,mean,mean
published_date,,,,
2017-12-07,-0.1366,0.10400000000000001,0.896,0.0
2017-12-21,0.29600000000000004,0.0,0.845,0.155
2017-12-26,-0.07476666666666666,0.25566666666666665,0.5653333333333334,0.17866666666666667
2017-12-27,0.1108,0.073,0.847,0.08
2017-12-29,0.15036666666666668,0.08266666666666667,0.7743333333333334,0.14300000000000002
2017-12-30,-0.09878,0.0484,0.9516,0.0
2017-12-31,-0.12657142857142858,0.12371428571428571,0.788,0.0882857142857143
2018-01-01,0.02003243243243244,0.06856756756756757,0.8431621621621622,0.08827027027027028
2018-01-02,0.07618637236084458,0.03651439539347409,0.8793992322456821,0.08408253358925143
2018-01-03,0.06871131034482758,0.03710068965517242,0.8832910344827581,0.07961241379310349
2018-01-04,0.08307198335644923,0.0380110957004161,0.8736796116504866,0.08830374479889046
2018-01-05,0.06152574955908288,0.042183421516754846,0.8812028218694883,0.0766190476190476
2018-01-06,0.0642813559322034,0.044398305084745765,0.8809237288135592,0.07468644067796612
2018-01-07,0.027603030303030303,0.09893939393939394,0.7895757575757575,0.11154545454545453
2018-01-08,0.08355050335570467,0.03194966442953019,0.8909026845637579,0.07714932885906042
2018-01-09,0.05464519846350832,0.036113956466069165,0.8935659411011518,0.07032010243277848
2018-01-10,0.05208155844155843,0.04317012987012987,0.8826519480519478,0.07417532467532471
2018-01-11,0.07525633187772927,0.038548762736535666,0.8799577874818049,0.08149781659388647
2018-01-12,0.08517567999999996,0.034140800000000006,0.8849216000000002,0.08094400000000003
2018-01-13,0.05260945945945942,0.05810135135135134,0.8498243243243248,0.09208108108108108
2018-01-14,-0.006490909090909082,0.10081818181818183,0.8008484848484848,0.09836363636363636
2018-01-15,0.05786923076923076,0.05133198380566802,0.8689514170040489,0.07972469635627528
2018-01-16,0.0702388652482269,0.042391489361702145,0.8770680851063821,0.0805432624113475
2018-01-17,0.09279884020618545,0.03239690721649485,0.8835064432989691,0.08409407216494846
2018-01-18,0.07147509481668772,0.0386030341340076,0.8838647281921624,0.07753603034134005
2018-01-19,0.06598887070376437,0.04635515548281507,0.8729198036006547,0.08073158756137486
2018-01-20,0.018201796407185642,0.058502994011976055,0.8757125748502991,0.06577844311377248
2018-01-21,-0.026969767441860474,0.09411627906976744,0.8273488372093022,0.07853488372093023
2018-01-22,0.05458375634517767,0.05286802030456853,0.8669923857868018,0.08014974619289342
2018-01-23,0.08601597444089448,0.040768903088391886,0.8722460063897771,0.08698189563365277
2018-01-24,0.09769030373831769,0.03470093457943925,0.8766039719626179,0.088696261682243
2018-01-25,0.08675692307692294,0.03215384615384615,0.8910437869822486,0.07680591715976333
2018-01-26,0.06994191461837002,0.041433376455368695,0.8773712807244501,0.08120051746442432
2018-01-27,0.07785555555555557,0.043716049382716046,0.8660987654320991,0.09018518518518517
2018-01-28,0.02047631578947368,0.06926315789473685,0.8628157894736844,0.06789473684210526
2018-01-29,0.07995362563237766,0.04238448566610459,0.8754890387858345,0.08212478920741993
2018-01-30,0.07709976553341139,0.04284056271981244,0.8693728018757337,0.08779015240328263
2018-01-31,0.09107987012987,0.03442640692640693,0.8852965367965365,0.08027597402597403
2018-02-01,0.08025217831813572,0.02604559270516719,0.9011965552178318,0.07276089159067882
2018-02-02,0.09790942028985504,0.03516787439613528,0.875159420289855,0.08966183574879223
2018-02-03,0.050100649350649354,0.05663636363636363,0.8605000000000002,0.08285714285714285
2018-02-04,0.13129508196721312,0.08832786885245901,0.7596229508196722,0.15204918032786885
2018-02-05,0.07764421252371918,0.0473491461100569,0.860597722960152,0.09205313092979128
2018-02-06,0.060828228571428576,0.03752571428571431,0.8902251428571427,0.07225485714285718
2018-02-07,0.0705198870056496,0.0440542372881356,0.8745152542372888,0.08143615819209038
2018-02-08,0.054439767932489384,0.041262658227848074,0.8891508438818564,0.06959071729957808
2018-02-09,0.020085061728395054,0.06419382716049384,0.8645456790123456,0.07126666666666664
2018-02-10,0.008617449664429547,0.06981208053691274,0.858167785234899,0.07204026845637584
2018-02-11,0.05973255813953488,0.08134883720930233,0.806,0.1125813953488372
2018-02-12,0.052224870466321245,0.0511692573402418,0.8716476683937815,0.07717962003454232
2018-02-13,0.054193698949824905,0.04414469078179696,0.880296382730456,0.07556359393232204
2018-02-14,0.05783590361445774,0.04834698795180722,0.8727710843373494,0.07887951807228914
2018-02-15,0.06407602905569001,0.04631234866828088,0.8735738498789345,0.0801077481840194
2018-02-16,0.05302496328928047,0.04767694566813512,0.876591776798825,0.0757356828193833
2018-02-17,0.05903785714285714,0.05668571428571429,0.8413214285714291,0.10199285714285715
2018-02-18,0.09103888888888888,0.08886111111111113,0.7599722222222222,0.15111111111111114
2018-02-19,0.01295,0.07813636363636366,0.8412954545454546,0.08057575757575758
2018-02-20,0.06922311688311678,0.04266493506493506,0.8744103896103892,0.08292467532467532
2018-02-21,0.0683969738651994,0.04108665749656123,0.8820880330123798,0.07682530949105912
2018-02-22,0.060440188877229774,0.03800839454354669,0.8893095487932852,0.07268730325288564
2018-02-23,0.05048169014084502,0.0527426376440461,0.8693201024327786,0.07794366197183095
2018-02-24,0.0034384000000000025,0.059160000000000004,0.8779760000000001,0.062872
2018-02-25,0.04869,0.0433,0.8886399999999999,0.06806
2018-02-26,0.06400780952380954,0.0376342857142857,0.8890304761904764,0.07333714285714288
2018-02-27,0.07763253424657528,0.03458333333333333,0.885062785388129,0.08035502283105028
2018-02-28,0.06396397590361445,0.04833734939759035,0.8743771084337343,0.07728674698795177
