,compound,neg,neu,pos
,mean,mean,mean,mean
published_date,,,,
2017-12-07,0.29600000000000004,0.0,0.804,0.196
2017-12-10,-0.2732,0.259,0.741,0.0
2017-12-13,0.0,0.0,1.0,0.0
2017-12-14,-0.17253333333333334,0.17933333333333334,0.738,0.08266666666666667
2017-12-15,-0.1806,0.1085,0.8915,0.0
2017-12-20,0.0,0.0,1.0,0.0
2017-12-21,0.06743333333333333,0.0,0.923,0.077
2017-12-22,0.0,0.0,1.0,0.0
2017-12-26,0.0,0.0,1.0,0.0
2017-12-27,0.34,0.0,0.625,0.375
2017-12-28,0.0,0.0,1.0,0.0
2017-12-29,0.0,0.0,1.0,0.0
2017-12-30,0.0,0.0,1.0,0.0
2017-12-31,-0.06695000000000002,0.07400000000000001,0.8839999999999999,0.042
2018-01-01,-0.00862391304347827,0.10658695652173912,0.7908478260869564,0.10258695652173913
2018-01-02,0.025323999999999992,0.07665333333333332,0.8389599999999998,0.08437333333333336
2018-01-03,0.03812913385826771,0.055228346456692924,0.869551181102362,0.07522834645669292
2018-01-04,-0.025823776223776216,0.09506293706293707,0.8238671328671328,0.08108391608391607
2018-01-05,-0.0006324137931034522,0.08942758620689659,0.8114482758620689,0.09910344827586208
2018-01-06,-0.015780952380952378,0.09190476190476189,0.8197380952380952,0.08838095238095238
2018-01-07,0.03236590909090908,0.06345454545454544,0.8388863636363637,0.09765909090909092
2018-01-08,0.037838211382113816,0.06922764227642275,0.8252195121951216,0.10556097560975612
2018-01-09,-0.002558571428571438,0.08861428571428574,0.8196714285714286,0.09171428571428576
2018-01-10,0.042846,0.07401333333333333,0.8207200000000004,0.10525333333333335
2018-01-11,0.014703676470588237,0.07116911764705881,0.8365367647058825,0.09229411764705882
2018-01-12,0.012318713450292397,0.07666081871345028,0.8408362573099415,0.0825029239766082
2018-01-13,0.01279999999999999,0.09697435897435899,0.7866923076923076,0.11628205128205128
2018-01-14,-0.09996666666666666,0.12804761904761908,0.8009523809523807,0.07104761904761905
2018-01-15,-0.03068607594936709,0.0950506329113924,0.8370632911392403,0.06787341772151899
2018-01-16,-0.008468468468468472,0.07441441441441442,0.8626126126126128,0.06298198198198199
2018-01-17,-0.022473913043478257,0.08562111801242238,0.8436024844720498,0.07077018633540372
2018-01-18,0.040940127388535044,0.08253503184713379,0.8111974522292994,0.10628025477707004
2018-01-19,-0.028254666666666668,0.10087333333333333,0.8125000000000001,0.08663333333333333
2018-01-20,-0.043485333333333334,0.07468000000000002,0.8766533333333335,0.048679999999999994
2018-01-21,0.004883333333333336,0.08874074074074073,0.8334074074074075,0.07785185185185185
2018-01-22,-0.009804237288135596,0.08504237288135594,0.8398474576271185,0.07512711864406779
2018-01-23,0.0008480263157894785,0.08876315789473686,0.8186249999999999,0.09259210526315792
2018-01-24,-0.050105625,0.08451249999999999,0.8594562500000004,0.056018750000000006
2018-01-25,0.01974915254237288,0.06637853107344632,0.8494237288135592,0.0842090395480226
2018-01-26,-0.06805,0.1081086956521739,0.8257898550724635,0.06610869565217392
2018-01-27,-0.05552203389830509,0.09020338983050848,0.856406779661017,0.05338983050847458
2018-01-28,-0.03666874999999999,0.11781249999999999,0.8049583333333334,0.07722916666666667
2018-01-29,-0.029421276595744672,0.08352127659574468,0.862882978723404,0.05361702127659575
2018-01-30,0.0023121212121212063,0.08347727272727273,0.8388787878787873,0.07765151515151514
2018-01-31,-0.008100540540540551,0.08574054054054055,0.8331297297297295,0.08112432432432432
2018-02-01,0.051785064935064934,0.06514285714285713,0.8326168831168829,0.10224025974025978
2018-02-02,-0.01240691823899372,0.09301886792452832,0.827987421383648,0.07899371069182388
2018-02-03,-0.0277719298245614,0.08871929824561404,0.8272456140350876,0.0840877192982456
2018-02-04,-0.05980000000000001,0.12994117647058825,0.7831568627450978,0.08692156862745097
2018-02-05,0.06351619047619049,0.08659047619047616,0.8021428571428573,0.11126666666666667
2018-02-06,0.005496666666666668,0.09831999999999999,0.8004866666666667,0.10118
2018-02-07,-0.010790751445086707,0.07199421965317918,0.858913294797688,0.06909826589595375
2018-02-08,-0.009989880952380955,0.09104761904761907,0.8312142857142859,0.07773214285714287
2018-02-09,-0.050521875,0.0966796875,0.8370859374999997,0.06624218750000001
2018-02-10,-0.067092,0.1288,0.7889333333333335,0.08226666666666668
2018-02-11,-0.05165490196078433,0.13072549019607843,0.7831568627450981,0.08611764705882352
2018-02-12,-0.03449074074074074,0.09491666666666669,0.827861111111111,0.07723148148148147
2018-02-13,-0.05309290780141844,0.08917021276595744,0.8590070921985813,0.051822695035461
2018-02-14,0.03111917808219179,0.07979452054794517,0.8259863013698626,0.09420547945205479
2018-02-15,0.015587500000000008,0.07850694444444445,0.8351388888888887,0.08635416666666668
2018-02-16,0.007175,0.07380128205128206,0.8416025641025638,0.08460897435897434
2018-02-17,0.012675862068965515,0.09482758620689655,0.8080172413793103,0.09715517241379314
2018-02-18,0.025474999999999973,0.0642857142857143,0.8677142857142855,0.06796428571428571
2018-02-19,0.016884615384615387,0.09356923076923075,0.8125999999999999,0.09381538461538463
2018-02-20,0.003166972477064223,0.08394495412844039,0.8199449541284404,0.09610091743119266
2018-02-21,-0.0066229007633587765,0.08278625954198475,0.8404427480916032,0.07678625954198474
2018-02-22,0.0032686274509803994,0.09626797385620915,0.8019281045751634,0.10182352941176472
2018-02-23,-0.03389714285714286,0.09237142857142859,0.8359000000000001,0.07172857142857143
2018-02-24,0.0011890624999999896,0.09340625,0.8282031250000002,0.07840625
