date,spy
2018/5/18,2712.969971
2018/5/21,2733.01001
2018/5/22,2724.439941
2018/5/23,2733.290039
2018/5/24,2727.76001
2018/5/25,2721.330078
2018/5/29,2689.860107
2018/5/30,2724.01001
2018/5/31,2705.27002
